OTU,NM-L+P+1,NM-L+P+2,NM-L+P+3,NM-L+P+4,NM-L+P+5,AM-L-P+1,AM-L-P+2,AM-L-P+3,AM-L-P+4,AM-L-P+5,NM-L+P-1,NM-L+P-2,NM-L+P-3,NM-L+P-4,NM-L+P-5,AM-L-P-1,AM-L-P-2,AM-L-P-3,AM-L-P-4,AM-L-P-5
OTU10832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0
OTU10849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10870,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU10871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0
OTU10887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU10896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10916,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0
OTU10917,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,89,0,0,0
OTU10918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10920,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU10921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10926,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0
OTU10927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10931,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU10932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0
OTU10944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,890
OTU10956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10984,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU10985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
OTU10996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498
OTU11009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0
OTU11035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201
OTU11042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU11081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11082,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0
OTU11083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11087,0,0,0,0,0,0,0,0,0,0,0,0,0,2356,0,0,0,0,0,0
OTU11088,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
OTU11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU11096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11104,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0
OTU11105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
